EN,EM,Description,Composition strategy,Attribute,positional sensitivity
common housefly,🏘️🏘️🏘️🪰🪰🪰🪰🪰,"[':houses:', ':houses:', ':houses:', ':fly:', ':fly:', ':fly:', ':fly:', ':fly:']",Reduplication,COMMONNESS,1
common housefly,🤲🪰,"[':palms_up_together:', ':fly:']",Direct,COMMONNESS,3
common housefly,🪰,[':fly:'],Single,COMMONNESS,1
common housefly,👥👥🪰,"[':busts_in_silhouette:', ':busts_in_silhouette:', ':fly:']",Direct,COMMONNESS,2
common housefly,🏠🪰,"[':house:', ':fly:']",Direct,COMMONNESS,3
common man,👨🏻,[':man_light_skin_tone:'],Single,COMMONNESS,1
common man,🧍🧍🤷,"[':person_standing:', ':person_standing:', ':person_shrugging:']",Metaphorical,COMMONNESS,2
common man,👥🧍‍♂️,"[':busts_in_silhouette:', ':man_standing:']",Metaphorical,COMMONNESS,3
common man,▶️👦👦👦,"[':play_button:', ':boy:', ':boy:', ':boy:']",Metaphorical,COMMONNESS,2
common man,🤲👨,"[':palms_up_together:', ':man:']",Direct,COMMONNESS,3
common man,👨,[':man:'],Single,COMMONNESS,1
common man,👨👨👨👨,"[':man:', ':man:', ':man:', ':man:']",Reduplication,COMMONNESS,1
common man,👨🧑‍🦱👨‍🦱,"[':man:', ':person_curly_hair:', ':man_curly_hair:']",Semantic list,COMMONNESS,1
common parlance,👩‍💼🗣💼,"[':woman_office_worker:', ':speaking_head:', ':briefcase:']",Metaphorical,FORMALITY,3
common parlance,🗣️✅🆗,"[':speaking_head:', ':check_mark_button:', ':OK_button:']",Metaphorical,FORMALITY,3
common parlance,👥🗣,"[':busts_in_silhouette:', ':speaking_head:']",Direct,FORMALITY,3
common parlance,▶️🗣️,"[':play_button:', ':speaking_head:']",Metaphorical,FORMALITY,3
common parlance,🤲🤝,"[':palms_up_together:', ':handshake:']",Metaphorical,FORMALITY,3
common parlance,👏👦🧑‍🦱,"[':clapping_hands:', ':boy:', ':person_curly_hair:']",Metaphorical,FORMALITY,2
common parlance,🗣️↔️🗣️,"[':speaking_head:', ':left-right_arrow:', ':speaking_head:']",Metaphorical,FORMALITY,4
common parlance,📓📔💬💭,"[':notebook:', ':notebook_with_decorative_cover:', ':speech_balloon:', ':thought_balloon:']",Metaphorical,FORMALITY,2
common brand,👜,[':handbag:'],Single,COMMONNESS,1
common brand,👓👝👗👔©️,"[':glasses:', ':clutch_bag:', ':dress:', ':necktie:', ':copyright:']",Direct,COMMONNESS,2
common brand,👥💁🏻‍♀️👜,"[':busts_in_silhouette:', ':woman_tipping_hand_light_skin_tone:', ':handbag:']",Metaphorical,COMMONNESS,3
common brand,▶️🛒👛,"[':play_button:', ':shopping_cart:', ':purse:']",Metaphorical,COMMONNESS,3
common brand,🤲📱,"[':palms_up_together:', ':mobile_phone:']",Metaphorical,COMMONNESS,3
common brand,↘️↙️,"[':down-right_arrow:', ':down-left_arrow:']",Metaphorical,COMMONNESS,4
common brand,👥🧳👛💼🎒👜👥,"[':busts_in_silhouette:', ':luggage:', ':purse:', ':briefcase:', ':backpack:', ':handbag:', ':busts_in_silhouette:']",Metaphorical,COMMONNESS,2
common brand,🛍️🛍️🔄,"[':shopping_bags:', ':shopping_bags:', ':counterclockwise_arrows_button:']",Metaphorical,COMMONNESS,2
heavy metal,🤘,[':sign_of_the_horns:'],Single,WEIGHT,1
heavy metal,🏋⚙️,"[':person_lifting_weights:', ':gear:']",Direct,WEIGHT,3
heavy metal,⚖️🔗,"[':balance_scale:', ':link:']",Metaphorical,WEIGHT,3
heavy metal,🏋🏻🛠️⚓🔗🔩⚔,"[':person_lifting_weights_light_skin_tone:', ':hammer_and_wrench:', ':anchor:', ':link:', ':nut_and_bolt:', ':crossed_swords:']",Direct,WEIGHT,2
heavy metal,⚒️⛓️,"[':hammer_and_pick:', ':chains:']",Semantic list,WEIGHT,1
heavy metal,😓🪨,"[':downcast_face_with_sweat:', ':rock:']",Metaphorical,WEIGHT,3
heavy metal,⚖️⚙️,"[':balance_scale:', ':gear:']",Metaphorical,WEIGHT,3
heavy load,📦📦📦📦📦📦📦📦📦✖️💯,"[':package:', ':package:', ':package:', ':package:', ':package:', ':package:', ':package:', ':package:', ':package:', ':multiply:', ':hundred_points:']",Reduplication,WEIGHT,1
heavy load,🏋🎒,"[':person_lifting_weights:', ':backpack:']",Direct,WEIGHT,3
heavy load,🏋️‍♂️📦,"[':man_lifting_weights:', ':package:']",Direct,WEIGHT,3
heavy load,🏋🏻🚜🧳,"[':person_lifting_weights_light_skin_tone:', ':tractor:', ':luggage:']",Direct,WEIGHT,2
heavy load,💥🏋,"[':collision:', ':person_lifting_weights:']",Metaphorical,WEIGHT,3
heavy load,😓📦,"[':downcast_face_with_sweat:', ':package:']",Metaphorical,WEIGHT,3
heavy load,💪👛,"[':flexed_biceps:', ':purse:']",Metaphorical,WEIGHT,3
heavy fog,🌫️🌁✖️💯,"[':fog:', ':foggy:', ':multiply:', ':hundred_points:']",Metaphorical,THICKNESS,2
heavy fog,🌫️🌫️,"[':fog:', ':fog:']",Reduplication,THICKNESS,1
heavy fog,🏋️‍♂️🌫️,"[':man_lifting_weights:', ':fog:']",Direct,THICKNESS,3
heavy fog,🌫️😶‍🌫,"[':fog:', ':face_in_clouds:']",Metaphorical,THICKNESS,3
heavy fog,🌫️🤨,"[':fog:', ':face_with_raised_eyebrow:']",Metaphorical,THICKNESS,3
heavy fog,😓😶‍🌫️,"[':downcast_face_with_sweat:', ':face_in_clouds:']",Metaphorical,THICKNESS,3
heavy fog,🌫️💨,"[':fog:', ':dashing_away:']",Metaphorical,THICKNESS,3
full game,💯🆓🎮,"[':hundred_points:', ':FREE_button:', ':video_game:']",Direct,COMPLETENESS,3
full game,🎯🏀,"[':bullseye:', ':basketball:']",Direct,COMPLETENESS,3
full game,🎮💯,"[':video_game:', ':hundred_points:']",Direct,COMPLETENESS,3
full game,🎮🏁,"[':video_game:', ':chequered_flag:']",Direct,COMPLETENESS,4
full game,👍🎮,"[':thumbs_up:', ':video_game:']",Direct,COMPLETENESS,3
full game,🕛👾,"[':twelve_o’clock:', ':alien_monster:']",Direct,COMPLETENESS,4
full game,🎮👬👬,"[':video_game:', ':men_holding_hands:', ':men_holding_hands:']",Metaphorical,COMPLETENESS,2
full auditorium,🎫🧑👨🧑‍🦱👩‍🦱🈵,"[':ticket:', ':person:', ':man:', ':person_curly_hair:', ':woman_curly_hair:', ':Japanese_no_vacancy_button:']",Metaphorical,FULLNESS,2
full auditorium,🧍‍♂️🧍‍♂️🧍‍♂️🧍‍♂️🧍‍♂️🧍‍♂️🧍‍♂️🧍‍♂️🧍‍♂️🕍,"[':man_standing:', ':man_standing:', ':man_standing:', ':man_standing:', ':man_standing:', ':man_standing:', ':man_standing:', ':man_standing:', ':man_standing:', ':synagogue:']",Reduplication,FULLNESS,1
full auditorium,👩‍💻👨‍💻🏫,"[':woman_technologist:', ':man_technologist:', ':school:']",Metaphorical,FULLNESS,2
full auditorium,❌🛸🏟,"[':cross_mark:', ':flying_saucer:', ':stadium:']",Direct,FULLNESS,4
full auditorium,🈵🏫,"[':Japanese_no_vacancy_button:', ':school:']",Direct,FULLNESS,3
full auditorium,⛽️🏫,"[':fuel_pump:', '', ':school:']",Direct,FULLNESS,3
full auditorium,🎟️🎟️🎭,"[':admission_tickets:', ':admission_tickets:', ':performing_arts:']",Metaphorical,FULLNESS,2
full attention,💯❗,"[':hundred_points:', ':red_exclamation_mark:']",Direct,INTEGRITY,3
full attention,👩🧐🤯,"[':woman:', ':face_with_monocle:', ':exploding_head:']",Metaphorical,INTEGRITY,3
full attention,💯❗,"[':hundred_points:', ':red_exclamation_mark:']",Direct,INTEGRITY,3
full attention,🤓👨‍💻👨‍🏫👨‍🎓,"[':nerd_face:', ':man_technologist:', ':man_teacher:', ':man_student:']",Semantic list,INTEGRITY,2
full attention,🧐✍️,"[':face_with_monocle:', ':writing_hand:']",Metaphorical,INTEGRITY,4
full attention,👨‍✈️,[':man_pilot:'],Single,INTEGRITY,1
full attention,🙋‍♂️🦻🏫,"[':man_raising_hand:', ':ear_with_hearing_aid:', ':school:']",Metaphorical,INTEGRITY,4
full glass,🥛➕🚰🚰🚰🚰🚰 🈵,"[':glass_of_milk:', ':plus:', ':potable_water:', ':potable_water:', ':potable_water:', ':potable_water:', ':potable_water:', ':Japanese_no_vacancy_button:']",Metaphorical,FULLNESS,4
full glass,🥛🈵,"[':glass_of_milk:', ':Japanese_no_vacancy_button:']",Direct,FULLNESS,3
full glass,💯🥛,"[':hundred_points:', ':glass_of_milk:']",Direct,FULLNESS,3
full glass,🚰🥛,"[':potable_water:', ':glass_of_milk:']",Metaphorical,FULLNESS,4
full glass,🚰✅,"[':potable_water:', ':check_mark_button:']",Direct,FULLNESS,3
full glass,🍺,[':beer_mug:'],Single,FULLNESS,1
full glass,🥛🥂,"[':glass_of_milk:', ':clinking_glasses:']",Semantic list,FULLNESS,2
full life,♥️👨‍👩‍👧‍👦💼💰💰💰💯,"[':heart_suit:', ':family_man_woman_girl_boy:', ':briefcase:', ':money_bag:', ':money_bag:', ':money_bag:', ':hundred_points:']",Metaphorical,FULLNESS,2
full life,🎑🏔️🌄,"[':moon_viewing_ceremony:', ':snow-capped_mountain:', ':sunrise_over_mountains:']",Semantic list,FULLNESS,1
full life,🥰☺️🏡,"[':smiling_face_with_hearts:', ':smiling_face:', ':house_with_garden:']",Metaphorical,FULLNESS,2
full life,🎉😊😌🤗🥳🤩,"[':party_popper:', ':smiling_face_with_smiling_eyes:', ':relieved_face:', ':smiling_face_with_open_hands:', ':partying_face:', ':star-struck:']",Metaphorical,FULLNESS,1
full life,😊♥️,"[':smiling_face_with_smiling_eyes:', ':heart_suit:']",Metaphorical,FULLNESS,2
full life,🥵🤣🥵🤣,"[':hot_face:', ':rolling_on_the_floor_laughing:', ':hot_face:', ':rolling_on_the_floor_laughing:']",Metaphorical,FULLNESS,1
full life,😆🥳💑,"[':grinning_squinting_face:', ':partying_face:', ':couple_with_heart:']",Direct,FULLNESS,2
little boy,👦,[':boy:'],Single,AGE,1
little boy,👦🧍,"[':boy:', ':person_standing:']",Semantic list,AGE,2
little boy,🤏👶👦,"[':pinching_hand:', ':baby:', ':boy:']",Direct,AGE,3
little boy,👦,[':boy:'],Single,AGE,1
little boy,👇🏻👦,"[':backhand_index_pointing_down_light_skin_tone:', ':boy:']",Direct,AGE,4
little boy,👦👈👶,"[':boy:', ':backhand_index_pointing_left:', ':baby:']",Metaphorical,AGE,5
little boy,👦🏻,[':boy_light_skin_tone:'],Single,AGE,1
little boy,🤏👦,"[':pinching_hand:', ':boy:']",Direct,AGE,2
little man,🧔‍♂️,[':man_beard:'],Single,STATURE,1
little man,🧍↕️🤏,"[':person_standing:', ':up-down_arrow:', ':pinching_hand:']",Direct,STATURE,4
little man,👦🧑‍🦰,"[':boy:', ':person_red_hair:']",Semantic list,STATURE,2
little man,🤏🧍‍♂️,"[':pinching_hand:', ':man_standing:']",Direct,STATURE,2
little man,👇🏻🚶‍♂️,"[':backhand_index_pointing_down_light_skin_tone:', ':man_walking:']",Direct,STATURE,4
little man,💪👦,"[':flexed_biceps:', ':boy:']",Metaphorical,STATURE,3
little man,🤏🏻👨🏻,"[':pinching_hand_light_skin_tone:', ':man_light_skin_tone:']",Direct,STATURE,2
little man,🤏👱‍♂️,"[':pinching_hand:', ':man_blond_hair:']",Direct,STATURE,2
little house,🏠,[':house:'],Single,SIZE,1
little house,🏠↕️🤏,"[':house:', ':up-down_arrow:', ':pinching_hand:']",Direct,SIZE,4
little house,🏠🔽,"[':house:', ':downwards_button:']",Direct,SIZE,4
little house,🤏🏡,"[':pinching_hand:', ':house_with_garden:']",Direct,SIZE,2
little house,🖼🏡,"[':framed_picture:', ':house_with_garden:']",Direct,SIZE,3
little house,🏚️,[':derelict_house:'],Single,SIZE,1
little house,🤏🏻🏠,"[':pinching_hand_light_skin_tone:', ':house:']",Direct,SIZE,2
little house,🤏🏠,"[':pinching_hand:', ':house:']",Direct,SIZE,2
ample food,🍔🌭🌮😊,"[':hamburger:', ':hot_dog:', ':taco:', ':smiling_face_with_smiling_eyes:']",Metaphorical,QUANTITY,1
ample food,👩‍👩‍👧‍👧👨‍👨‍👧‍👧👨‍👩‍👧‍👧🍽️💯,"[':family_woman_woman_girl_girl:', ':family_man_man_girl_girl:', ':family_man_woman_girl_girl:', ':fork_and_knife_with_plate:', ':hundred_points:']",Metaphorical,QUANTITY,2
ample food,🍙🍚🍘🍜,"[':rice_ball:', ':cooked_rice:', ':rice_cracker:', ':steaming_bowl:']",Semantic list,QUANTITY,1
ample food,🥖🥞🥫🍛🍲,"[':baguette_bread:', ':pancakes:', ':canned_food:', ':curry_rice:', ':pot_of_food:']",Semantic list,QUANTITY,1
ample food,👌🏻🍽🍎,"[':OK_hand_light_skin_tone:', ':fork_and_knife_with_plate:', ':red_apple:']",Metaphorical,QUANTITY,2
ample food,🍏🍎🍐🍊🥔🍠🥐🥯🍞🫓🍑🥥🥝,"[':green_apple:', ':red_apple:', ':pear:', ':tangerine:', ':potato:', ':roasted_sweet_potato:', ':croissant:', ':bagel:', ':bread:', ':flatbread:', ':peach:', ':coconut:', ':kiwi_fruit:']",Semantic list,QUANTITY,1
ample food,🍔🌭🌮🌯🥪🍕,"[':hamburger:', ':hot_dog:', ':taco:', ':burrito:', ':sandwich:', ':pizza:']",Semantic list,QUANTITY,1
ample food,👐😋,"[':open_hands:', ':face_savoring_food:']",Metaphorical,QUANTITY,3
ample supply,😊📈,"[':smiling_face_with_smiling_eyes:', ':chart_increasing:']",Metaphorical,SUFFICIENCY,3
ample supply,👩‍👩‍👧‍👧👨‍👨‍👧‍👧👨‍👩‍👧‍👧📈,"[':family_woman_woman_girl_girl:', ':family_man_man_girl_girl:', ':family_man_woman_girl_girl:', ':chart_increasing:']",Metaphorical,SUFFICIENCY,2
ample supply,📉📋✅,"[':chart_decreasing:', ':clipboard:', ':check_mark_button:']",Metaphorical,SUFFICIENCY,4
ample supply,🍽✅️,"[':fork_and_knife_with_plate:', ':check_mark_button:', '']",Metaphorical,SUFFICIENCY,3
ample supply,👌🏻🔒,"[':OK_hand_light_skin_tone:', ':locked:']",Metaphorical,SUFFICIENCY,3
ample supply,🍏🍌🥐🌮🥪🥨🧀🥚🥞🥬🌶️🍢🧋🌰🍪🎂🥂🍨,"[':green_apple:', ':banana:', ':croissant:', ':taco:', ':sandwich:', ':pretzel:', ':cheese_wedge:', ':egg:', ':pancakes:', ':leafy_green:', ':hot_pepper:', ':oden:', ':bubble_tea:', ':chestnut:', ':cookie:', ':birthday_cake:', ':clinking_glasses:', ':ice_cream:']",Semantic list,SUFFICIENCY,1
ample supply,🙆🏻‍♀️📦,"[':woman_gesturing_OK_light_skin_tone:', ':package:']",Direct,SUFFICIENCY,3
ample supply,👐📈,"[':open_hands:', ':chart_increasing:']",Metaphorical,SUFFICIENCY,3
ample waistline,😊,[':smiling_face_with_smiling_eyes:'],Single,SIZE,1
ample waistline,🤰📈,"[':pregnant_woman:', ':chart_increasing:']",Metaphorical,SIZE,3
ample waistline,📏👖,"[':straight_ruler:', ':jeans:']",Metaphorical,SIZE,3
ample waistline,🍴🍴🍝🎅,"[':fork_and_knife:', ':fork_and_knife:', ':spaghetti:', ':Santa_Claus:']",Metaphorical,SIZE,2
ample waistline,🤌🏻👗,"[':pinched_fingers_light_skin_tone:', ':dress:']",Metaphorical,SIZE,3
ample waistline,💸🏦💵🪙💰💹🏧💲💳🤑,"[':money_with_wings:', ':bank:', ':dollar_banknote:', ':coin:', ':money_bag:', ':chart_increasing_with_yen:', ':ATM_sign:', ':heavy_dollar_sign:', ':credit_card:', ':money-mouth_face:']",Metaphorical,SIZE,1
ample waistline,🙆🏻‍♀️🩳,"[':woman_gesturing_OK_light_skin_tone:', ':shorts:']",Direct,SIZE,3
ample waistline,👐🤰,"[':open_hands:', ':pregnant_woman:']",Metaphorical,SIZE,3
puzzling statement,😵‍💫🤔,"[':face_with_spiral_eyes:', ':thinking_face:']",Semantic list,CLARITY,2
puzzling statement,💬❓❓😵‍💫,"[':speech_balloon:', ':red_question_mark:', ':red_question_mark:', ':face_with_spiral_eyes:']",Direct,CLARITY,3
puzzling statement,🗣️❓⁉️🤔🤷,"[':speaking_head:', ':red_question_mark:', ':exclamation_question_mark:', ':thinking_face:', ':person_shrugging:']",Metaphorical,CLARITY,3
puzzling statement,❓️❓️❓️❓️,"[':red_question_mark:', '', ':red_question_mark:', '', ':red_question_mark:', '', ':red_question_mark:', '']",Reduplication,CLARITY,1
puzzling statement,🧐❓,"[':face_with_monocle:', ':red_question_mark:']",Metaphorical,CLARITY,3
puzzling statement,⁉️⁉️❓❔🤷‍♀️🤷🤷‍♂️,"[':exclamation_question_mark:', ':exclamation_question_mark:', ':red_question_mark:', ':white_question_mark:', ':woman_shrugging:', ':person_shrugging:', ':man_shrugging:']",Metaphorical,CLARITY,2
puzzling statement,😵‍💫🤨❓,"[':face_with_spiral_eyes:', ':face_with_raised_eyebrow:', ':red_question_mark:']",Metaphorical,CLARITY,3
puzzling statement,🤷‍♀️🗣️,"[':woman_shrugging:', ':speaking_head:']",Direct,CLARITY,3
remarkable sight,🤯🤩,"[':exploding_head:', ':star-struck:']",Direct,ORDINARINESS,2
remarkable sight,🤩🤯🎆,"[':star-struck:', ':exploding_head:', ':fireworks:']",Metaphorical,ORDINARINESS,2
remarkable sight,😲💯🥰👀,"[':astonished_face:', ':hundred_points:', ':smiling_face_with_hearts:', ':eyes:']",Direct,ORDINARINESS,2
remarkable sight,🏞👀✅️,"[':national_park:', ':eyes:', ':check_mark_button:', '']",Direct,ORDINARINESS,3
remarkable sight,🤩🏞,"[':star-struck:', ':national_park:']",Direct,ORDINARINESS,2
remarkable sight,👀🎑,"[':eyes:', ':moon_viewing_ceremony:']",Direct,ORDINARINESS,3
remarkable sight,🤩,[':star-struck:'],Single,ORDINARINESS,1
remarkable sight,👀🖼️,"[':eyes:', ':framed_picture:']",Direct,ORDINARINESS,3
dull mood,😑🥱,"[':expressionless_face:', ':yawning_face:']",Semantic list,DULLNESS,1
dull mood,😕😑😶,"[':confused_face:', ':expressionless_face:', ':face_without_mouth:']",Semantic list,DULLNESS,1
dull mood,😑🥱,"[':expressionless_face:', ':yawning_face:']",Semantic list,DULLNESS,1
dull mood,🥱😒,"[':yawning_face:', ':unamused_face:']",Semantic list,DULLNESS,1
dull mood,🥱😒,"[':yawning_face:', ':unamused_face:']",Semantic list,DULLNESS,1
dull mood,👎😤,"[':thumbs_down:', ':face_with_steam_from_nose:']",Direct,DULLNESS,3
dull mood,😔😪,"[':pensive_face:', ':sleepy_face:']",Semantic list,DULLNESS,1
dull mood,😓,[':downcast_face_with_sweat:'],Single,DULLNESS,1
dull play,😑🥱⚽,"[':expressionless_face:', ':yawning_face:', ':soccer_ball:']",Direct,INTEREST,2
dull play,😑🪅🧸,"[':expressionless_face:', ':pinata:', ':teddy_bear:']",Direct,INTEREST,2
dull play,🥱🎭,"[':yawning_face:', ':performing_arts:']",Direct,INTEREST,3
dull play,🥱🎭,"[':yawning_face:', ':performing_arts:']",Direct,INTEREST,3
dull play,😒⚽,"[':unamused_face:', ':soccer_ball:']",Direct,INTEREST,3
dull play,👎🏀,"[':thumbs_down:', ':basketball:']",Direct,INTEREST,3
dull play,😪🎮,"[':sleepy_face:', ':video_game:']",Direct,INTEREST,3
dull play,🎭😕,"[':performing_arts:', ':confused_face:']",Direct,INTEREST,3
dull sky,😑🥱🌫️,"[':expressionless_face:', ':yawning_face:', ':fog:']",Direct,LUMINOSITY,2
dull sky,🌥️🌧️🪟,"[':sun_behind_large_cloud:', ':cloud_with_rain:', ':window:']",Metaphorical,LUMINOSITY,2
dull sky,🌫,[':fog:'],Single,LUMINOSITY,1
dull sky,🌑🌃,"[':new_moon:', ':night_with_stars:']",Metaphorical,LUMINOSITY,2
dull sky,😒🌫️,"[':unamused_face:', ':fog:']",Direct,LUMINOSITY,3
dull sky,▪️⛈,"[':black_small_square:', ':cloud_with_lightning_and_rain:']",Metaphorical,LUMINOSITY,3
dull sky,🌩️🌫️,"[':cloud_with_lightning:', ':fog:']",Metaphorical,LUMINOSITY,2
dull sky,🌫️,[':fog:'],Single,LUMINOSITY,1
dull silver,🌫️🥈,"[':fog:', ':2nd_place_medal:']",Direct,LUMINOSITY,2
dull silver,🌫️🍴🥄,"[':fog:', ':fork_and_knife:', ':spoon:']",Direct,LUMINOSITY,2
dull silver,💍❌️🌟,"[':ring:', ':cross_mark:', '', ':glowing_star:']",Direct,LUMINOSITY,4
dull silver,🌑🥈,"[':new_moon:', ':2nd_place_medal:']",Direct,LUMINOSITY,2
dull silver,🥈⚙️🌑,"[':2nd_place_medal:', ':gear:', ':new_moon:']",Direct,LUMINOSITY,3
dull silver,▪️💍,"[':black_small_square:', ':ring:']",Direct,LUMINOSITY,2
dull silver,🥈😔,"[':2nd_place_medal:', ':pensive_face:']",Metaphorical,LUMINOSITY,3
dull silver,🌫️🪙,"[':fog:', ':coin:']",Direct,LUMINOSITY,2
dull day,😑🥱📆,"[':expressionless_face:', ':yawning_face:', ':tear-off_calendar:']",Direct,DULLNESS,2
dull day,🌥️🏙️,"[':sun_behind_large_cloud:', ':cityscape:']",Metaphorical,DULLNESS,2
dull day,😑📅,"[':expressionless_face:', ':calendar:']",Direct,DULLNESS,3
dull day,🌑🌚,"[':new_moon:', ':new_moon_face:']",Metaphorical,DULLNESS,2
dull day,🌫️🌥️,"[':fog:', ':sun_behind_large_cloud:']",Metaphorical,DULLNESS,2
dull day,👎🕦,"[':thumbs_down:', ':eleven-thirty:']",Metaphorical,DULLNESS,3
dull day,😥😟,"[':sad_but_relieved_face:', ':worried_face:']",Semantic list,DULLNESS,1
dull day,🌫️,[':fog:'],Single,DULLNESS,1
dull glow,🌫️🌟,"[':fog:', ':glowing_star:']",Direct,LUMINOSITY,2
dull glow,🌫️💡,"[':fog:', ':light_bulb:']",Direct,LUMINOSITY,2
dull glow,💡❌️🌟,"[':light_bulb:', ':cross_mark:', '', ':glowing_star:']",Direct,LUMINOSITY,4
dull glow,🌑🌟,"[':new_moon:', ':glowing_star:']",Direct,LUMINOSITY,2
dull glow,💡🕶️😒,"[':light_bulb:', ':sunglasses:', ':unamused_face:']",Metaphorical,LUMINOSITY,3
dull glow,👎🌟,"[':thumbs_down:', ':glowing_star:']",Direct,LUMINOSITY,3
dull glow,❌💡🕯️,"[':cross_mark:', ':light_bulb:', ':candle:']",Direct,LUMINOSITY,3
dull glow,🌫️⭐,"[':fog:', ':star:']",Direct,LUMINOSITY,2
cozy nook,😊🛏️,"[':smiling_face_with_smiling_eyes:', ':bed:']",Metaphorical,COMFORT,3
cozy nook,😌☺️☀️🌄,"[':relieved_face:', ':smiling_face:', ':sun:', ':sunrise_over_mountains:']",Metaphorical,COMFORT,1
cozy nook,🛋🥰,"[':couch_and_lamp:', ':smiling_face_with_hearts:']",Metaphorical,COMFORT,3
cozy nook,🥰🛋️,"[':smiling_face_with_hearts:', ':couch_and_lamp:']",Metaphorical,COMFORT,3
cozy nook,🛋️☕😌,"[':couch_and_lamp:', ':hot_beverage:', ':relieved_face:']",Metaphorical,COMFORT,2
cozy nook,😄,[':grinning_face_with_smiling_eyes:'],Single,COMFORT,1
cozy nook,🍁🍂🔥,"[':maple_leaf:', ':fallen_leaf:', ':fire:']",Metaphorical,COMFORT,2
cozy nook,😴🛋️,"[':sleeping_face:', ':couch_and_lamp:']",Metaphorical,COMFORT,3
cozy room,😊🏠,"[':smiling_face_with_smiling_eyes:', ':house:']",Direct,FRIENDLINESS,3
cozy room,😌🏠🏡🪟,"[':relieved_face:', ':house:', ':house_with_garden:', ':window:']",Direct,FRIENDLINESS,2
cozy room,🛏🥰,"[':bed:', ':smiling_face_with_hearts:']",Metaphorical,FRIENDLINESS,3
cozy room,🥰🚪,"[':smiling_face_with_hearts:', ':door:']",Metaphorical,FRIENDLINESS,3
cozy room,🛋️☕🖥️,"[':couch_and_lamp:', ':hot_beverage:', ':desktop_computer:']",Metaphorical,FRIENDLINESS,2
cozy room,😄🛌,"[':grinning_face_with_smiling_eyes:', ':person_in_bed:']",Metaphorical,FRIENDLINESS,3
cozy room,🛏️🛋️💤🕯️,"[':bed:', ':couch_and_lamp:', ':zzz:', ':candle:']",Metaphorical,FRIENDLINESS,2
cozy room,😴🛋️,"[':sleeping_face:', ':couch_and_lamp:']",Metaphorical,FRIENDLINESS,3
low hill,↘️🏔️,"[':down-right_arrow:', ':snow-capped_mountain:']",Direct,HEIGHT,4
low hill,👇⛰️,"[':backhand_index_pointing_down:', ':mountain:']",Direct,HEIGHT,4
low hill,⬇️🏔🏔,"[':down_arrow:', ':snow-capped_mountain:', ':snow-capped_mountain:']",Direct,HEIGHT,3
low hill,↘️🏔️,"[':down-right_arrow:', ':snow-capped_mountain:']",Direct,HEIGHT,4
low hill,🏔⬇️,"[':snow-capped_mountain:', ':down_arrow:']",Direct,HEIGHT,4
low hill,🏔️,[':snow-capped_mountain:'],Single,HEIGHT,1
low hill,⬇️🏔️,"[':down_arrow:', ':snow-capped_mountain:']",Direct,HEIGHT,4
low hill,🔻🗻,"[':red_triangle_pointed_down:', ':mount_fuji:']",Direct,HEIGHT,4
low sun,↘️☀️,"[':down-right_arrow:', ':sun:']",Direct,HEIGHT,4
low sun,👇🌞,"[':backhand_index_pointing_down:', ':sun_with_face:']",Direct,HEIGHT,4
low sun,🌅🌅🌅,"[':sunrise:', ':sunrise:', ':sunrise:']",Reduplication,HEIGHT,1
low sun,↘️☀️🌞🌥️🔅,"[':down-right_arrow:', ':sun:', ':sun_with_face:', ':sun_behind_large_cloud:', ':dim_button:']",Metaphorical,HEIGHT,3
low sun,⬇️🔅,"[':down_arrow:', ':dim_button:']",Direct,HEIGHT,4
low sun,💧🧊❄️,"[':droplet:', ':ice:', ':snowflake:']",Metaphorical,HEIGHT,2
low sun,📉☀️,"[':chart_decreasing:', ':sun:']",Direct,HEIGHT,4
low sun,🔻☀️,"[':red_triangle_pointed_down:', ':sun:']",Direct,HEIGHT,4
low supply,↘️📉,"[':down-right_arrow:', ':chart_decreasing:']",Metaphorical,QUANTITY,4
low supply,📉📦,"[':chart_decreasing:', ':package:']",Direct,QUANTITY,4
low supply,🙅‍♀️🙅‍♀️🙅‍♀️,"[':woman_gesturing_NO:', ':woman_gesturing_NO:', ':woman_gesturing_NO:']",Reduplication,QUANTITY,1
low supply,↘️👎🙁😦,"[':down-right_arrow:', ':thumbs_down:', ':slightly_frowning_face:', ':frowning_face_with_open_mouth:']",Metaphorical,QUANTITY,3
low supply,⬇️📉,"[':down_arrow:', ':chart_decreasing:']",Metaphorical,QUANTITY,4
low supply,😱🛍️🛒,"[':face_screaming_in_fear:', ':shopping_bags:', ':shopping_cart:']",Metaphorical,QUANTITY,2
low supply,⬇️0️⃣,"[':down_arrow:', ':keycap_0:']",Metaphorical,QUANTITY,4
low supply,🔻📦,"[':red_triangle_pointed_down:', ':package:']",Direct,QUANTITY,4
low cloud,↘️☁️,"[':down-right_arrow:', ':cloud:']",Direct,HEIGHT,4
low cloud,👇☁️,"[':backhand_index_pointing_down:', ':cloud:']",Direct,HEIGHT,4
low cloud,☁️🌁,"[':cloud:', ':foggy:']",Metaphorical,HEIGHT,2
low cloud,↘️ 🌫️,"[':down-right_arrow:', ':fog:']",Direct,HEIGHT,4
low cloud,⬇️☁️,"[':down_arrow:', ':cloud:']",Direct,HEIGHT,4
low cloud,☁️🌥️,"[':cloud:', ':sun_behind_large_cloud:']",Metaphorical,HEIGHT,2
low cloud,❌☁️,"[':cross_mark:', ':cloud:']",Direct,HEIGHT,3
